index,step,x,y,retrieval_order
0,0,0,0,0
0,1,-10,0,0
0,2,-20,0,0
0,3,-30,0,0
0,4,-40,0,0
0,5,-50,0,0
0,6,-60,0,0
0,7,-70,0,0
0,8,-80,0,0
0,9,-90,0,0
1,0,200,0,1
1,1,190,0,1
1,2,180,0,1
1,3,170,0,1
1,4,160,0,1
1,5,150,0,1
1,6,140,0,1
1,7,130,0,1
1,8,120,0,1
1,9,110,0,1
2,0,300,0,2
2,1,290,0,2
2,2,280,0,2
2,3,270,0,2
2,4,260,0,2
2,5,250,0,2
2,6,240,0,2
2,7,230,0,2
2,8,220,0,2
2,9,210,0,2
3,0,500,0,3
3,1,490,0,3
3,2,480,0,3
3,3,470,0,3
3,4,460,0,3
3,5,450,0,3
3,6,440,0,3
3,7,430,0,3
3,8,420,0,3
3,9,410,0,3
4,0,720,0,4
4,1,710,0,4
4,2,700,0,4
4,3,690,0,4
4,4,680,0,4
4,5,670,0,4
4,6,660,0,4
4,7,650,0,4
4,8,640,0,4
4,9,630,0,4
5,0,820,0,5
5,1,810,0,5
5,2,800,0,5
5,3,790,0,5
5,4,780,0,5
5,5,770,0,5
5,6,760,0,5
5,7,750,0,5
5,8,740,0,5
5,9,730,0,5
6,0,200,140,6
6,1,190,140,6
6,2,180,140,6
6,3,170,140,6
6,4,160,140,6
6,5,150,140,6
6,6,140,140,6
6,7,130,140,6
6,8,120,140,6
6,9,110,140,6
7,0,400,140,7
7,1,390,140,7
7,2,380,140,7
7,3,370,140,7
7,4,360,140,7
7,5,350,140,7
7,6,340,140,7
7,7,330,140,7
7,8,320,140,7
7,9,310,140,7
8,0,0,180,8
8,1,-10,180,8
8,2,-20,180,8
8,3,-30,180,8
8,4,-40,180,8
8,5,-50,180,8
8,6,-60,180,8
8,7,-70,180,8
8,8,-80,180,8
8,9,-90,180,8
9,0,500,200,9
9,1,490,200,9
9,2,480,200,9
9,3,470,200,9
9,4,460,200,9
9,5,450,200,9
9,6,440,200,9
9,7,430,200,9
9,8,420,200,9
9,9,410,200,9
10,0,640,200,10
10,1,630,200,10
10,2,620,200,10
10,3,610,200,10
10,4,600,200,10
10,5,590,200,10
10,6,580,200,10
10,7,570,200,10
10,8,560,200,10
10,9,550,200,10
11,0,840,200,11
11,1,830,200,11
11,2,820,200,11
11,3,810,200,11
11,4,800,200,11
11,5,790,200,11
11,6,780,200,11
11,7,770,200,11
11,8,760,200,11
11,9,750,200,11
12,0,920,200,12
12,1,910,200,12
12,2,900,200,12
12,3,890,200,12
12,4,880,200,12
12,5,870,200,12
12,6,860,200,12
12,7,850,200,12
12,8,840,200,12
12,9,830,200,12
13,0,0,280,13
13,1,-10,280,13
13,2,-20,280,13
13,3,-30,280,13
13,4,-40,280,13
13,5,-50,280,13
13,6,-60,280,13
13,7,-70,280,13
13,8,-80,280,13
13,9,-90,280,13
14,0,120,300,14
14,1,110,300,14
14,2,100,300,14
14,3,90,300,14
14,4,80,300,14
14,5,70,300,14
14,6,60,300,14
14,7,50,300,14
14,8,40,300,14
14,9,30,300,14
15,0,280,300,15
15,1,270,300,15
15,2,260,300,15
15,3,250,300,15
15,4,240,300,15
15,5,230,300,15
15,6,220,300,15
15,7,210,300,15
15,8,200,300,15
15,9,190,300,15
16,0,640,300,16
16,1,630,300,16
16,2,620,300,16
16,3,610,300,16
16,4,600,300,16
16,5,590,300,16
16,6,580,300,16
16,7,570,300,16
16,8,560,300,16
16,9,550,300,16
17,0,740,300,17
17,1,730,300,17
17,2,720,300,17
17,3,710,300,17
17,4,700,300,17
17,5,690,300,17
17,6,680,300,17
17,7,670,300,17
17,8,660,300,17
17,9,650,300,17
18,0,740,380,18
18,1,730,380,18
18,2,720,380,18
18,3,710,380,18
18,4,700,380,18
18,5,690,380,18
18,6,680,380,18
18,7,670,380,18
18,8,660,380,18
18,9,650,380,18
19,0,480,360,19
19,1,470,360,19
19,2,460,360,19
19,3,450,360,19
19,4,440,360,19
19,5,430,360,19
19,6,420,360,19
19,7,410,360,19
19,8,400,360,19
19,9,390,360,19
20,0,0,420,20
20,1,-10,420,20
20,2,-20,420,20
20,3,-30,420,20
20,4,-40,420,20
20,5,-50,420,20
20,6,-60,420,20
20,7,-70,420,20
20,8,-80,420,20
20,9,-90,420,20
21,0,480,460,21
21,1,470,460,21
21,2,460,460,21
21,3,450,460,21
21,4,440,460,21
21,5,430,460,21
21,6,420,460,21
21,7,410,460,21
21,8,400,460,21
21,9,390,460,21
22,0,700,500,22
22,1,690,500,22
22,2,680,500,22
22,3,670,500,22
22,4,660,500,22
22,5,650,500,22
22,6,640,500,22
22,7,630,500,22
22,8,620,500,22
22,9,610,500,22
23,0,160,520,23
23,1,150,520,23
23,2,140,520,23
23,3,130,520,23
23,4,120,520,23
23,5,110,520,23
23,6,100,520,23
23,7,90,520,23
23,8,80,520,23
23,9,70,520,23
24,0,340,540,24
24,1,330,540,24
24,2,320,540,24
24,3,310,540,24
24,4,300,540,24
24,5,290,540,24
24,6,280,540,24
24,7,270,540,24
24,8,260,540,24
24,9,250,540,24
25,0,500,540,25
25,1,490,540,25
25,2,480,540,25
25,3,470,540,25
25,4,460,540,25
25,5,450,540,25
25,6,440,540,25
25,7,430,540,25
25,8,420,540,25
25,9,410,540,25
26,0,680,640,26
26,1,670,640,26
26,2,660,640,26
26,3,650,640,26
26,4,640,640,26
26,5,630,640,26
26,6,620,640,26
26,7,610,640,26
26,8,600,640,26
26,9,590,640,26
27,0,0,720,27
27,1,-10,720,27
27,2,-20,720,27
27,3,-30,720,27
27,4,-40,720,27
27,5,-50,720,27
27,6,-60,720,27
27,7,-70,720,27
27,8,-80,720,27
27,9,-90,720,27
28,0,180,760,28
28,1,170,760,28
28,2,160,760,28
28,3,150,760,28
28,4,140,760,28
28,5,130,760,28
28,6,120,760,28
28,7,110,760,28
28,8,100,760,28
28,9,90,760,28
29,0,360,760,29
29,1,350,760,29
29,2,340,760,29
29,3,330,760,29
29,4,320,760,29
29,5,310,760,29
29,6,300,760,29
29,7,290,760,29
29,8,280,760,29
29,9,270,760,29
30,0,0,560,30
30,1,-10,560,30
30,2,-20,560,30
30,3,-30,560,30
30,4,-40,560,30
30,5,-50,560,30
