index,width,height,x,y,packed
0,164,132,0,0,Yes
1,71,85,200,0,Yes
2,99,111,300,0,Yes
3,59,156,420,0,Yes
4,169,143,500,0,Yes
5,98,191,700,0,Yes
6,180,165,200,140,Yes
7,165,114,0,160,Yes
8,68,128,820,0,Yes
9,93,71,820,160,Yes
10,166,51,400,180,Yes
11,173,170,600,220,Yes
12,175,189,400,260,Yes
13,153,133,800,260,Yes
14,180,118,0,300,Yes
15,76,137,200,340,Yes
16,162,173,600,420,Yes
17,189,83,300,480,Yes
18,154,200,800,420,Yes
19,53,133,920,0,Yes
20,66,73,300,340,Yes
21,165,171,0,440,Yes
22,84,79,200,600,Yes
23,184,106,320,600,Yes
24,192,69,540,620,Yes
25,151,58,0,640,Yes
26,154,177,760,640,Yes
27,192,112,0,720,Yes
28,200,116,540,720,Yes
29,72,58,200,500,Yes
30,55,170,220,700,Yes
31,142,147,300,740,Yes
32,67,166,760,840,Yes
33,89,181,860,840,Yes
34,112,158,0,860,Yes
35,133,138,480,860,Yes
36,144,191,140,920,Yes
37,62,96,640,860,Yes
38,65,133,320,920,Yes
39,81,144,640,980,Yes
40,142,59,420,1020,Yes
41,164,71,760,1060,Yes
42,66,95,0,1040,Yes
43,143,112,320,1100,Yes
44,183,163,100,1140,Yes
45,52,176,500,1100,Yes
46,89,95,580,1160,Yes
47,177,185,700,1160,Yes
48,122,74,320,1240,Yes
49,140,185,480,1300,Yes
