index,step,x,y,retrieval_order
0,0,0,0,0
0,1,-10,0,0
0,2,-20,0,0
0,3,-30,0,0
0,4,-40,0,0
0,5,-50,0,0
0,6,-60,0,0
0,7,-70,0,0
0,8,-80,0,0
0,9,-90,0,0
1,0,200,0,1
1,1,190,0,1
1,2,180,0,1
1,3,170,0,1
1,4,160,0,1
1,5,150,0,1
1,6,140,0,1
1,7,130,0,1
1,8,120,0,1
1,9,110,0,1
2,0,300,0,2
2,1,290,0,2
2,2,280,0,2
2,3,270,0,2
2,4,260,0,2
2,5,250,0,2
2,6,240,0,2
2,7,230,0,2
2,8,220,0,2
2,9,210,0,2
3,0,420,0,3
3,1,410,0,3
3,2,400,0,3
3,3,390,0,3
3,4,380,0,3
3,5,370,0,3
3,6,360,0,3
3,7,350,0,3
3,8,340,0,3
3,9,330,0,3
4,0,500,0,4
4,1,490,0,4
4,2,480,0,4
4,3,470,0,4
4,4,460,0,4
4,5,450,0,4
4,6,440,0,4
4,7,430,0,4
4,8,420,0,4
4,9,410,0,4
5,0,700,0,5
5,1,690,0,5
5,2,680,0,5
5,3,670,0,5
5,4,660,0,5
5,5,650,0,5
5,6,640,0,5
5,7,630,0,5
5,8,620,0,5
5,9,610,0,5
6,0,200,140,6
6,1,190,140,6
6,2,180,140,6
6,3,170,140,6
6,4,160,140,6
6,5,150,140,6
6,6,140,140,6
6,7,130,140,6
6,8,120,140,6
6,9,110,140,6
7,0,0,160,7
7,1,-10,160,7
7,2,-20,160,7
7,3,-30,160,7
7,4,-40,160,7
7,5,-50,160,7
7,6,-60,160,7
7,7,-70,160,7
7,8,-80,160,7
7,9,-90,160,7
8,0,820,0,8
8,1,810,0,8
8,2,800,0,8
8,3,790,0,8
8,4,780,0,8
8,5,770,0,8
8,6,760,0,8
8,7,750,0,8
8,8,740,0,8
8,9,730,0,8
9,0,820,160,9
9,1,810,160,9
9,2,800,160,9
9,3,790,160,9
9,4,780,160,9
9,5,770,160,9
9,6,760,160,9
9,7,750,160,9
9,8,740,160,9
9,9,730,160,9
10,0,400,180,10
10,1,390,180,10
10,2,380,180,10
10,3,370,180,10
10,4,360,180,10
10,5,350,180,10
10,6,340,180,10
10,7,330,180,10
10,8,320,180,10
10,9,310,180,10
11,0,600,220,11
11,1,590,220,11
11,2,580,220,11
11,3,570,220,11
11,4,560,220,11
11,5,550,220,11
11,6,540,220,11
11,7,530,220,11
11,8,520,220,11
11,9,510,220,11
12,0,400,260,12
12,1,390,260,12
12,2,380,260,12
12,3,370,260,12
12,4,360,260,12
12,5,350,260,12
12,6,340,260,12
12,7,330,260,12
12,8,320,260,12
12,9,310,260,12
13,0,800,260,13
13,1,790,260,13
13,2,780,260,13
13,3,770,260,13
13,4,760,260,13
13,5,750,260,13
13,6,740,260,13
13,7,730,260,13
13,8,720,260,13
13,9,710,260,13
14,0,0,300,14
14,1,-10,300,14
14,2,-20,300,14
14,3,-30,300,14
14,4,-40,300,14
14,5,-50,300,14
14,6,-60,300,14
14,7,-70,300,14
14,8,-80,300,14
14,9,-90,300,14
15,0,200,340,15
15,1,190,340,15
15,2,180,340,15
15,3,170,340,15
15,4,160,340,15
15,5,150,340,15
15,6,140,340,15
15,7,130,340,15
15,8,120,340,15
15,9,110,340,15
16,0,600,420,16
16,1,590,420,16
16,2,580,420,16
16,3,570,420,16
16,4,560,420,16
16,5,550,420,16
16,6,540,420,16
16,7,530,420,16
16,8,520,420,16
16,9,510,420,16
17,0,300,480,17
17,1,290,480,17
17,2,280,480,17
17,3,270,480,17
17,4,260,480,17
17,5,250,480,17
17,6,240,480,17
17,7,230,480,17
17,8,220,480,17
17,9,210,480,17
18,0,800,420,18
18,1,790,420,18
18,2,780,420,18
18,3,770,420,18
18,4,760,420,18
18,5,750,420,18
18,6,740,420,18
18,7,730,420,18
18,8,720,420,18
18,9,710,420,18
19,0,920,0,19
19,1,910,0,19
19,2,900,0,19
19,3,890,0,19
19,4,880,0,19
19,5,870,0,19
19,6,860,0,19
19,7,850,0,19
19,8,840,0,19
19,9,830,0,19
20,0,300,340,20
20,1,290,340,20
20,2,280,340,20
20,3,270,340,20
20,4,260,340,20
20,5,250,340,20
20,6,240,340,20
20,7,230,340,20
20,8,220,340,20
20,9,210,340,20
21,0,0,440,21
21,1,-10,440,21
21,2,-20,440,21
21,3,-30,440,21
21,4,-40,440,21
21,5,-50,440,21
21,6,-60,440,21
21,7,-70,440,21
21,8,-80,440,21
21,9,-90,440,21
22,0,200,600,22
22,1,190,600,22
22,2,180,600,22
22,3,170,600,22
22,4,160,600,22
22,5,150,600,22
22,6,140,600,22
22,7,130,600,22
22,8,120,600,22
22,9,110,600,22
23,0,320,600,23
23,1,310,600,23
23,2,300,600,23
23,3,290,600,23
23,4,280,600,23
23,5,270,600,23
23,6,260,600,23
23,7,250,600,23
23,8,240,600,23
23,9,230,600,23
24,0,540,620,24
24,1,530,620,24
24,2,520,620,24
24,3,510,620,24
24,4,500,620,24
24,5,490,620,24
24,6,480,620,24
24,7,470,620,24
24,8,460,620,24
24,9,450,620,24
25,0,0,640,25
25,1,-10,640,25
25,2,-20,640,25
25,3,-30,640,25
25,4,-40,640,25
25,5,-50,640,25
25,6,-60,640,25
25,7,-70,640,25
25,8,-80,640,25
25,9,-90,640,25
26,0,760,640,26
26,1,750,640,26
26,2,740,640,26
26,3,730,640,26
26,4,720,640,26
26,5,710,640,26
26,6,700,640,26
26,7,690,640,26
26,8,680,640,26
26,9,670,640,26
27,0,0,720,27
27,1,-10,720,27
27,2,-20,720,27
27,3,-30,720,27
27,4,-40,720,27
27,5,-50,720,27
27,6,-60,720,27
27,7,-70,720,27
27,8,-80,720,27
27,9,-90,720,27
28,0,540,720,28
28,1,530,720,28
28,2,520,720,28
28,3,510,720,28
28,4,500,720,28
28,5,490,720,28
28,6,480,720,28
28,7,470,720,28
28,8,460,720,28
28,9,450,720,28
29,0,200,500,29
29,1,190,500,29
29,2,180,500,29
29,3,170,500,29
29,4,160,500,29
29,5,150,500,29
29,6,140,500,29
29,7,130,500,29
29,8,120,500,29
29,9,110,500,29
30,0,220,700,30
30,1,210,700,30
30,2,200,700,30
30,3,190,700,30
30,4,180,700,30
30,5,170,700,30
