pid,arrival_stop,destination_stop,arrival_time,departure_time,flag,pod_departure,from_stop,path,travel_time,waiting_time,destination_time,distance
1,F,A,35659,35974.278,1,35659,,FDBA,307.278,0,35966.278,3.4142
2,D,A,41581,41806.278,1,41581,,DBA,217.278,0,41798.278,2.4142
3,E,C,57408,57596,1,57498,,EC,90,90,57498,1
4,I,E,35732,35830,1,35732,,IE,90,0,35822,1
5,A,G,73386,73701.278,1,73386,,ACEG,307.278,0,73693.278,3.4142
6,B,G,64457,64825,1,64457,,BHCEG,360,0,64817,4
7,D,H,68646,68834,1,68646,,DBH,180,0,68826,2
8,C,G,56092,56280,1,56092,,CEG,180,0,56272,2
9,I,F,69517,69705,1,69517,,IDF,180,0,69697,2
10,E,G,40653,40751,1,40653,,EG,90,0,40743,1
11,F,A,30665,30980.278,1,30665,,FDBA,307.278,0,30972.278,3.4142
12,B,J,70877,71155,1,70877,,BHIJ,270,0,71147,3
13,D,G,81580,81858,1,81580,,DFJG,270,0,81850,3
14,J,G,69820,69918,1,69820,,JG,90,0,69910,1
15,H,B,27509,27607,1,27509,,HB,90,0,27599,1
16,F,C,27121,27489,1,27121,,FDBHC,360,0,27481,4
17,C,H,57149,57337,1,57239,,CH,90,90,57239,1
18,F,B,81777,81965,1,81777,,FDB,180,0,81957,2
19,J,H,50547,50735,1,50547,,JIH,180,0,50727,2
20,E,A,52096,52321.278,1,52096,,ECA,217.278,0,52313.278,2.4142
21,A,G,85340,85655.278,1,85340,,ACEG,307.278,0,85647.278,3.4142
22,J,F,81458,81556,1,81458,,JF,90,0,81548,1
23,A,G,32586,32901.278,1,32586,,ACEG,307.278,0,32893.278,3.4142
24,B,E,40376,40654,1,40376,,BHCE,270,0,40646,3
25,E,B,25879,26157,1,25879,,ECHB,270,0,26149,3
26,G,E,54166,54264,1,54166,,GE,90,0,54256,1
27,F,B,76128,76406,1,76218,,FDB,180,90,76308,2
28,J,A,58093,58371,1,58093,,JIHA,270,0,58363,3
29,G,H,54925,55203,1,54925,,GECH,270,0,55195,3
30,D,I,52829,52927,1,52829,,DI,90,0,52919,1
31,C,E,29635,29733,1,29635,,CE,90,0,29725,1
32,B,H,25549,25647,1,25549,,BH,90,0,25639,1
33,H,C,54692,54790,1,54692,,HC,90,0,54782,1
34,H,A,44684,44782,1,44684,,HA,90,0,44774,1
35,G,B,30308,30676,1,30308,,GECHB,360,0,30668,4
36,J,A,74384,74662,1,74384,,JIHA,270,0,74654,3
37,J,F,32848,32946,1,32848,,JF,90,0,32938,1
38,D,A,56749,56974.278,1,56749,,DBA,217.278,0,56966.278,2.4142
39,E,F,80515,80793,1,80515,,EIDF,270,0,80785,3
40,D,E,84373,84561,1,84373,,DIE,180,0,84553,2
41,G,I,79113,79301,1,79113,,GEI,180,0,79293,2
42,C,H,45028,45216,1,45118,,CH,90,90,45118,1
43,B,J,82955,83233,1,82955,,BHIJ,270,0,83225,3
44,G,A,37883,38198.278,1,37883,,GECA,307.278,0,38190.278,3.4142
45,E,B,54139,54417,1,54139,,ECHB,270,0,54409,3
46,G,D,64715,64993,1,64715,,GEID,270,0,64985,3
47,F,I,35535,35723,1,35535,,FDI,180,0,35715,2
48,I,H,40332,40430,1,40332,,IH,90,0,40422,1
49,J,A,80233,80511,1,80233,,JIHA,270,0,80503,3
50,E,F,45351,45719,1,45441,,EIDF,270,90,45621,3
51,H,J,80075,80263,1,80075,,HIJ,180,0,80255,2
52,C,A,30543,30678.278,1,30543,,CA,127.27799999999999,0,30670.278,1.4142
53,G,B,71155,71523,1,71155,,GECHB,360,0,71515,4
