pid,arrival_stop,destination_stop,arrival_time,destination_time,distance,pod_id,pod_arrival_time,pod_current_loc,travel_distance,waiting_time,pod_final_time,empty_km,nonempty_km
1765,H,I,21616,21706,1.0,0,21616.0,H,0.0,0,21710.0,0.0,1.0
911,F,J,21635,21725,1.0,1,21635.0,F,0.0,0,21729.0,0.0,1.0
4025,G,B,21636,21996,4.0,2,21636.0,G,0.0,0,22000.0,0.0,4.0
1931,C,J,21654,21924,3.0,3,21654.0,C,0.0,0,21928.0,0.0,3.0
506,F,G,21659,21839,2.0,4,21659.0,F,0.0,0,21843.0,0.0,2.0
3061,J,G,21671,21761,1.0,5,21671.0,J,0.0,0,21765.0,0.0,1.0
1721,E,G,21672,21762,1.0,6,21672.0,E,0.0,0,21766.0,0.0,1.0
1558,C,E,21685,21775,1.0,7,21685.0,C,0.0,0,21779.0,0.0,1.0
2544,D,C,21690,21960,3.0,8,21690.0,D,0.0,0,21964.0,0.0,3.0
3179,C,I,21735,21915,2.0,9,21735.0,C,0.0,0,21919.0,0.0,2.0
2767,I,E,21738,21828,1.0,0,21738.0,I,0.0,0,21832.0,0.0,1.0
1326,A,B,21740,21867,1.4142,10,21740.0,A,0.0,0,21871.278,0.0,1.4142
2263,A,C,21745,21872,1.4142,11,21745.0,A,0.0,0,21876.278,0.0,1.4142
1820,E,B,21779,22049,3.0,7,21779.0,E,0.0,0,22053.0,0.0,3.0
136,B,E,21781,22051,3.0,12,21781.0,B,0.0,0,22055.0,0.0,3.0
2138,H,D,21822,22002,2.0,13,21822.0,H,0.0,0,22006.0,0.0,2.0
1863,I,E,21824,21914,1.0,14,21824.0,I,0.0,0,21918.0,0.0,1.0
1486,A,I,21825,22005,2.0,15,21825.0,A,0.0,0,22009.0,0.0,2.0
1742,E,D,21873,22053,2.0,0,21873.0,E,0.0,0,22057.0,0.0,2.0
287,B,D,21880,21970,1.0,10,21880.0,B,0.0,0,21974.0,0.0,1.0
10,J,H,21887,22067,2.0,1,21887.0,J,0.0,0,22071.0,0.0,2.0
3398,D,H,21890,22070,2.0,16,21890.0,D,0.0,0,22074.0,0.0,2.0
2649,F,H,21890,22160,3.0,17,21890.0,F,0.0,0,22164.0,0.0,3.0
2414,A,D,21891,22108,2.4142,18,21891.0,A,0.0,0,22112.278,0.0,2.4142
1799,A,G,21901,22208,3.4142,19,21901.0,A,0.0,0,22212.278,0.0,3.4142
1377,E,A,21919,22136,2.4142,14,21919.0,E,0.0,0,22140.278,0.0,2.4142
2272,A,H,21945,22035,1.0,20,21945.0,A,0.0,0,22039.0,0.0,1.0
842,G,J,21949,22039,1.0,5,21949.0,G,0.0,0,22043.0,0.0,1.0
2876,C,A,21960,22087,1.4142,11,21960.0,C,0.0,0,22091.278,0.0,1.4142
2060,H,E,21986,22166,2.0,21,21986.0,H,0.0,0,22170.0,0.0,2.0
3354,E,F,22015,22285,3.0,22,22015.0,E,0.0,0,22289.0,0.0,3.0
2749,J,B,22096,22366,3.0,3,22096.0,J,0.0,0,22370.0,0.0,3.0
2973,I,D,22141,22231,1.0,9,22141.0,I,0.0,0,22235.0,0.0,1.0
3107,A,G,22153,22460,3.4142,11,22153.0,A,0.0,0,22464.278,0.0,3.4142
379,G,H,22155,22425,3.0,6,22155.0,G,0.0,0,22429.0,0.0,3.0
3399,J,D,22160,22340,2.0,5,22160.0,J,0.0,0,22344.0,0.0,2.0
1222,H,C,22181,22271,1.0,20,22181.0,H,0.0,0,22275.0,0.0,1.0
1098,J,C,22182,22452,3.0,23,22182.0,J,0.0,0,22456.0,0.0,3.0
3444,B,I,22184,22364,2.0,2,22184.0,B,0.0,0,22368.0,0.0,2.0
1238,E,B,22190,22460,3.0,12,22190.0,E,0.0,0,22464.0,0.0,3.0
827,C,D,22215,22485,3.0,8,22215.0,C,0.0,0,22489.0,0.0,3.0
1635,I,C,22228,22408,2.0,15,22228.0,I,0.0,0,22412.0,0.0,2.0
552,D,F,22232,22322,1.0,10,22232.0,D,0.0,0,22326.0,0.0,1.0
2433,A,J,22276,22546,3.0,14,22276.0,A,0.0,0,22550.0,0.0,3.0
2002,F,E,22289,22559,3.0,22,22289.0,F,0.0,0,22563.0,0.0,3.0
3957,A,J,22376,22646,3.0,24,22376.0,A,0.0,0,22650.0,0.0,3.0
585,F,C,22402,22762,4.0,10,22402.0,F,0.0,0,22766.0,0.0,4.0
84,B,J,22404,22674,3.0,7,22404.0,B,0.0,0,22678.0,0.0,3.0
1141,J,H,22425,22605,2.0,25,22425.0,J,0.0,0,22609.0,0.0,2.0
541,B,I,22436,22616,2.0,3,22436.0,B,0.0,0,22620.0,0.0,2.0
2717,G,F,22452,22632,2.0,4,22452.0,G,0.0,0,22636.0,0.0,2.0
2680,G,C,22457,22637,2.0,19,22457.0,G,0.0,0,22641.0,0.0,2.0
2787,E,H,22459,22639,2.0,21,22459.0,E,0.0,0,22643.0,0.0,2.0
980,A,J,22477,22747,3.0,26,22477.0,A,0.0,0,22751.0,0.0,3.0
3497,D,A,22488,22705,2.4142,13,22488.0,D,0.0,0,22709.278,0.0,2.4142
1557,E,C,22498,22588,1.0,27,22498.0,E,0.0,0,22592.0,0.0,1.0
3785,I,B,22553,22733,2.0,2,22553.0,I,0.0,0,22737.0,0.0,2.0
2570,F,J,22564,22654,1.0,28,22564.0,F,0.0,0,22658.0,0.0,1.0
1466,C,E,22574,22664,1.0,20,22574.0,C,0.0,0,22668.0,0.0,1.0
1781,B,J,22576,22846,3.0,12,22576.0,B,0.0,0,22850.0,0.0,3.0
3807,F,B,22591,22771,2.0,29,22591.0,F,0.0,0,22775.0,0.0,2.0
3295,C,H,22598,22688,1.0,15,22598.0,C,0.0,0,22692.0,0.0,1.0
603,A,G,22607,22914,3.4142,30,22607.0,A,0.0,0,22918.278,0.0,3.4142
3305,I,G,22619,22799,2.0,31,22619.0,I,0.0,0,22803.0,0.0,2.0
1514,D,C,22630,22900,3.0,0,22630.0,D,0.0,0,22904.0,0.0,3.0
3483,C,I,22637,22817,2.0,23,22637.0,C,0.0,0,22821.0,0.0,2.0
2835,D,J,22651,22831,2.0,18,22651.0,D,0.0,0,22835.0,0.0,2.0
2351,J,G,22658,22748,1.0,14,22658.0,J,0.0,0,22752.0,0.0,1.0
3678,I,F,22663,22843,2.0,3,22663.0,I,0.0,0,22847.0,0.0,2.0
3906,B,I,22664,22844,2.0,32,22664.0,B,0.0,0,22848.0,0.0,2.0
61,I,C,22679,22859,2.0,33,22679.0,I,0.0,0,22863.0,0.0,2.0
3163,I,E,22734,22824,1.0,34,22734.0,I,0.0,0,22828.0,0.0,1.0
479,E,A,22818,23035,2.4142,22,22818.0,E,0.0,0,23039.278,0.0,2.4142
2554,G,A,22886,23193,3.4142,11,22886.0,G,0.0,0,23197.278,0.0,3.4142
604,A,G,22892,23199,3.4142,13,22892.0,A,0.0,0,23203.278,0.0,3.4142
2783,C,H,22896,22986,1.0,27,22896.0,C,0.0,0,22990.0,0.0,1.0
1296,D,J,22921,23101,2.0,9,22921.0,D,0.0,0,23105.0,0.0,2.0
107,B,E,22924,23194,3.0,2,22924.0,B,0.0,0,23198.0,0.0,3.0
804,H,D,22926,23106,2.0,1,22926.0,H,0.0,0,23110.0,0.0,2.0
2158,I,E,22974,23064,1.0,23,22974.0,I,0.0,0,23068.0,0.0,1.0
471,F,D,22987,23077,1.0,4,22987.0,F,0.0,0,23081.0,0.0,1.0
1685,E,A,23026,23243,2.4142,20,23026.0,E,0.0,0,23247.278,0.0,2.4142
3856,D,E,23033,23213,2.0,5,23033.0,D,0.0,0,23217.0,0.0,2.0
1832,A,J,23052,23322,3.0,22,23052.0,A,0.0,0,23326.0,0.0,3.0
2741,G,J,23071,23161,1.0,14,23071.0,G,0.0,0,23165.0,0.0,1.0
2950,I,J,23074,23164,1.0,32,23074.0,I,0.0,0,23168.0,0.0,1.0
3756,H,I,23077,23167,1.0,16,23077.0,H,0.0,0,23171.0,0.0,1.0
723,E,G,23095,23185,1.0,34,23095.0,E,0.0,0,23189.0,0.0,1.0
3302,F,I,23147,23327,2.0,3,23147.0,F,0.0,0,23331.0,0.0,2.0
3684,G,D,23148,23418,3.0,31,23148.0,G,0.0,0,23422.0,0.0,3.0
2327,J,D,23157,23337,2.0,24,23157.0,J,0.0,0,23341.0,0.0,2.0
4031,F,I,23162,23342,2.0,35,23162.0,F,0.0,0,23346.0,0.0,2.0
1811,E,C,23194,23284,1.0,23,23194.0,E,0.0,0,23288.0,0.0,1.0
2727,I,J,23197,23287,1.0,16,23197.0,I,0.0,0,23291.0,0.0,1.0
3841,G,C,23209,23389,2.0,30,23209.0,G,0.0,0,23393.0,0.0,2.0
1810,F,J,23214,23304,1.0,36,23214.0,F,0.0,0,23308.0,0.0,1.0
2058,B,D,23233,23323,1.0,29,23233.0,B,0.0,0,23327.0,0.0,1.0
589,F,H,23235,23505,3.0,37,23235.0,F,0.0,0,23509.0,0.0,3.0
1096,D,G,23250,23520,3.0,8,23250.0,D,0.0,0,23524.0,0.0,3.0
3665,H,A,23252,23342,1.0,17,23252.0,H,0.0,0,23346.0,0.0,1.0
274,J,C,23256,23526,3.0,28,23256.0,J,0.0,0,23530.0,0.0,3.0
3612,F,I,23269,23449,2.0,38,23269.0,F,0.0,0,23453.0,0.0,2.0
3346,D,J,23280,23460,2.0,4,23280.0,D,0.0,0,23464.0,0.0,2.0
2986,A,D,23286,23503,2.4142,11,23286.0,A,0.0,0,23507.278,0.0,2.4142
2994,D,E,23330,23510,2.0,1,23330.0,D,0.0,0,23514.0,0.0,2.0
2109,C,J,23336,23606,3.0,19,23336.0,C,0.0,0,23610.0,0.0,3.0
3323,G,H,23351,23621,3.0,34,23351.0,G,0.0,0,23625.0,0.0,3.0
156,C,J,23392,23662,3.0,10,23392.0,C,0.0,0,23666.0,0.0,3.0
